Rank,Views,Likes,Comments,Title,VideoID,PublishDate,Link,Region,Source_File,Thumbnail
1,318478887,1784798,140132,Bessan Ismail x Fouad Jned -  خطية (Official Music Video) | بيسان اسماعيل و فؤاد جنيد,LsyviHWrNB4,2025-05-10,https://www.youtube.com/watch?v=LsyviHWrNB4,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/LsyviHWrNB4/maxresdefault.webp
2,231662102,744969,42714,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,VkH3aMIWntw,2025-04-18,https://www.youtube.com/watch?v=VkH3aMIWntw,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/VkH3aMIWntw/maxresdefault.jpg
3,211688285,926353,108276,Tamer Hosny & Al Shami - Maleket Gamal El Kon (Official Video) / تامر حسني والشامي - ملكة جمال الكون,mUC-Um5Jauw,2025-05-24,https://www.youtube.com/watch?v=mUC-Um5Jauw,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/mUC-Um5Jauw/maxresdefault.jpg
4,202182144,818021,16352,Amr Diab - Baba (Official Lyric Video) | (كلمات) عمرو دياب - بابا,3knHALzEC7M,2025-07-03,https://www.youtube.com/watch?v=3knHALzEC7M,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/3knHALzEC7M/maxresdefault.webp
5,177081901,995285,115896,Al Shami - Doctor [Official Music Video] (2025) / الشامي - دكتور,rhOAyPKHWEo,2025-01-13,https://www.youtube.com/watch?v=rhOAyPKHWEo,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/rhOAyPKHWEo/maxresdefault.webp
6,163240977,655691,44154,Fadel Chaker And Mohamed Chaker - Kifek 3a fra2e  | 2025 | فضل شاكر ومحمد شاكر - كيفك ع فراقي,m5IWI6xFRms,2025-07-07,https://www.youtube.com/watch?v=m5IWI6xFRms,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/m5IWI6xFRms/maxresdefault.webp
7,134904717,371785,14183,akhras - Skaba (Official Music Video) | الاخرس - سكابا,Tv4--ekFMKQ,2025-04-23,https://www.youtube.com/watch?v=Tv4--ekFMKQ,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/Tv4--ekFMKQ/maxresdefault.webp
8,127445871,730251,67023,Fadel Chaker - Sahak Isho2  | 2025 | فضل شاكر - صحاك الشوق,pDy8B_r81vY,2025-08-25,https://www.youtube.com/watch?v=pDy8B_r81vY,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/pDy8B_r81vY/maxresdefault.webp
9,124817306,975941,91957,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,hDd4B5yuYJY,2025-01-07,https://www.youtube.com/watch?v=hDd4B5yuYJY,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/hDd4B5yuYJY/maxresdefault.webp
10,91281400,323647,12853,رعد الناصري - شوفولي جاره  | Raad El Nassri - Shofouli Jarah #حصريا 2025 #عيد_الحب,1xg1EEVnbyI,2025-02-11,https://www.youtube.com/watch?v=1xg1EEVnbyI,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/1xg1EEVnbyI/maxresdefault.webp
11,76412260,670477,31680,Maher Zain & Harris J - Qalbi Fil Madinah | Official Lyric Video | قلبي في المدينة,ik8jfDQrLAs,2025-03-09,https://www.youtube.com/watch?v=ik8jfDQrLAs,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/ik8jfDQrLAs/maxresdefault.webp
12,75348588,328253,22899,Amjad Jomaa - Al Sab3 (Official Music Video) | أمجد جمعة - السبع,_HF671bgtng,2025-06-06,https://www.youtube.com/watch?v=_HF671bgtng,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/_HF671bgtng/maxresdefault.webp
13,73122577,713159,85266,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash (Official Music Video) | علاش,vGmQrRVEvJ8,2025-08-08,https://www.youtube.com/watch?v=vGmQrRVEvJ8,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/vGmQrRVEvJ8/maxresdefault.jpg
14,69145362,201427,5775,Adam - Ya Helou (Official Music Video) | آدم - يا حلو,GEucCNFsr84,2025-07-11,https://www.youtube.com/watch?v=GEucCNFsr84,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/GEucCNFsr84/maxresdefault.jpg
15,68476253,245658,13173,akhras - Harb (Official Music Video) | الاخرس - حرب,tP9RzrwvNfw,2025-08-29,https://www.youtube.com/watch?v=tP9RzrwvNfw,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/tP9RzrwvNfw/maxresdefault.webp
16,68395908,411505,16257,Maha Ftouni - Awel Hob (Official Lyric Video) | مهى فتوني - أول حب,EXUEn28ajSA,2025-01-22,https://www.youtube.com/watch?v=EXUEn28ajSA,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/EXUEn28ajSA/maxresdefault.webp
17,67627655,344977,16271,TUL8TE - El Hob Gany I تووليت - الحب جاني,w7JBHSx5ScA,2025-10-01,https://www.youtube.com/watch?v=w7JBHSx5ScA,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/w7JBHSx5ScA/maxresdefault.jpg
18,65269915,166875,13429,Fadel Chaker - Hawa Aljnoub | فضل شاكر - هوى الجنوب | 2025,qtmCCy-sc8g,2025-03-31,https://www.youtube.com/watch?v=qtmCCy-sc8g,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/qtmCCy-sc8g/maxresdefault.webp
19,64112851,295818,3727,KALAMANTINA / كلمنتينا,GJ6iWDK1sgI,2025-02-13,https://www.youtube.com/watch?v=GJ6iWDK1sgI,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi_webp/GJ6iWDK1sgI/maxresdefault.webp
20,60854346,537495,11118,Mohamed Mounir FT Tamer Hosny - El zouA El Aaly ( Music Video) محمد منير وتامر حسني - الذوق العالي,TV0wqllm324,2025-07-15,https://www.youtube.com/watch?v=TV0wqllm324,egypt_sudan,g_egypt_sudan_2025_top_50.csv,https://i.ytimg.com/vi/TV0wqllm324/maxresdefault.jpg
1,318478887,1784798,140132,Bessan Ismail x Fouad Jned -  خطية (Official Music Video) | بيسان اسماعيل و فؤاد جنيد,LsyviHWrNB4,2025-05-10,https://www.youtube.com/watch?v=LsyviHWrNB4,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/LsyviHWrNB4/maxresdefault.webp
2,231662102,744969,42714,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,VkH3aMIWntw,2025-04-18,https://www.youtube.com/watch?v=VkH3aMIWntw,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/VkH3aMIWntw/maxresdefault.jpg
3,211688285,926353,108276,Tamer Hosny & Al Shami - Maleket Gamal El Kon (Official Video) / تامر حسني والشامي - ملكة جمال الكون,mUC-Um5Jauw,2025-05-24,https://www.youtube.com/watch?v=mUC-Um5Jauw,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/mUC-Um5Jauw/maxresdefault.jpg
4,202182144,818021,16352,Amr Diab - Baba (Official Lyric Video) | (كلمات) عمرو دياب - بابا,3knHALzEC7M,2025-07-03,https://www.youtube.com/watch?v=3knHALzEC7M,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/3knHALzEC7M/maxresdefault.webp
5,177081901,995285,115896,Al Shami - Doctor [Official Music Video] (2025) / الشامي - دكتور,rhOAyPKHWEo,2025-01-13,https://www.youtube.com/watch?v=rhOAyPKHWEo,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/rhOAyPKHWEo/maxresdefault.webp
6,163240977,655691,44154,Fadel Chaker And Mohamed Chaker - Kifek 3a fra2e  | 2025 | فضل شاكر ومحمد شاكر - كيفك ع فراقي,m5IWI6xFRms,2025-07-07,https://www.youtube.com/watch?v=m5IWI6xFRms,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/m5IWI6xFRms/maxresdefault.webp
7,134904717,371785,14183,akhras - Skaba (Official Music Video) | الاخرس - سكابا,Tv4--ekFMKQ,2025-04-23,https://www.youtube.com/watch?v=Tv4--ekFMKQ,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/Tv4--ekFMKQ/maxresdefault.webp
8,127445871,730251,67023,Fadel Chaker - Sahak Isho2  | 2025 | فضل شاكر - صحاك الشوق,pDy8B_r81vY,2025-08-25,https://www.youtube.com/watch?v=pDy8B_r81vY,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/pDy8B_r81vY/maxresdefault.webp
9,124817306,975941,91957,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,hDd4B5yuYJY,2025-01-07,https://www.youtube.com/watch?v=hDd4B5yuYJY,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/hDd4B5yuYJY/maxresdefault.webp
10,91281400,323647,12853,رعد الناصري - شوفولي جاره  | Raad El Nassri - Shofouli Jarah #حصريا 2025 #عيد_الحب,1xg1EEVnbyI,2025-02-11,https://www.youtube.com/watch?v=1xg1EEVnbyI,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/1xg1EEVnbyI/maxresdefault.webp
11,76412260,670477,31680,Maher Zain & Harris J - Qalbi Fil Madinah | Official Lyric Video | قلبي في المدينة,ik8jfDQrLAs,2025-03-09,https://www.youtube.com/watch?v=ik8jfDQrLAs,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/ik8jfDQrLAs/maxresdefault.webp
12,75348588,328253,22899,Amjad Jomaa - Al Sab3 (Official Music Video) | أمجد جمعة - السبع,_HF671bgtng,2025-06-06,https://www.youtube.com/watch?v=_HF671bgtng,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/_HF671bgtng/maxresdefault.webp
13,73122577,713159,85266,Fouad Jned x Bessan Ismail x Amjad Jomaa - 3lash (Official Music Video) | علاش,vGmQrRVEvJ8,2025-08-08,https://www.youtube.com/watch?v=vGmQrRVEvJ8,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/vGmQrRVEvJ8/maxresdefault.jpg
14,69145362,201427,5775,Adam - Ya Helou (Official Music Video) | آدم - يا حلو,GEucCNFsr84,2025-07-11,https://www.youtube.com/watch?v=GEucCNFsr84,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/GEucCNFsr84/maxresdefault.jpg
15,68476253,245658,13173,akhras - Harb (Official Music Video) | الاخرس - حرب,tP9RzrwvNfw,2025-08-29,https://www.youtube.com/watch?v=tP9RzrwvNfw,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/tP9RzrwvNfw/maxresdefault.webp
16,68395908,411505,16257,Maha Ftouni - Awel Hob (Official Lyric Video) | مهى فتوني - أول حب,EXUEn28ajSA,2025-01-22,https://www.youtube.com/watch?v=EXUEn28ajSA,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/EXUEn28ajSA/maxresdefault.webp
17,67627655,344976,16271,TUL8TE - El Hob Gany I تووليت - الحب جاني,w7JBHSx5ScA,2025-10-01,https://www.youtube.com/watch?v=w7JBHSx5ScA,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/w7JBHSx5ScA/maxresdefault.jpg
18,65269915,166875,13429,Fadel Chaker - Hawa Aljnoub | فضل شاكر - هوى الجنوب | 2025,qtmCCy-sc8g,2025-03-31,https://www.youtube.com/watch?v=qtmCCy-sc8g,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/qtmCCy-sc8g/maxresdefault.webp
19,64112851,295818,3727,KALAMANTINA / كلمنتينا,GJ6iWDK1sgI,2025-02-13,https://www.youtube.com/watch?v=GJ6iWDK1sgI,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi_webp/GJ6iWDK1sgI/maxresdefault.webp
20,60854346,537495,11118,Mohamed Mounir FT Tamer Hosny - El zouA El Aaly ( Music Video) محمد منير وتامر حسني - الذوق العالي,TV0wqllm324,2025-07-15,https://www.youtube.com/watch?v=TV0wqllm324,gulf,g_gulf_2025_top_50.csv,https://i.ytimg.com/vi/TV0wqllm324/maxresdefault.jpg
1,318478887,1784799,140132,Bessan Ismail x Fouad Jned -  خطية (Official Music Video) | بيسان اسماعيل و فؤاد جنيد,LsyviHWrNB4,2025-05-10,https://www.youtube.com/watch?v=LsyviHWrNB4,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/LsyviHWrNB4/maxresdefault.webp
2,231662102,744969,42714,Fadel Chaker - Ahla Rasma  | 2025 | فضل شاكر - أحلى رسمه,VkH3aMIWntw,2025-04-18,https://www.youtube.com/watch?v=VkH3aMIWntw,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi/VkH3aMIWntw/maxresdefault.jpg
3,211687394,926353,108276,Tamer Hosny & Al Shami - Maleket Gamal El Kon (Official Video) / تامر حسني والشامي - ملكة جمال الكون,mUC-Um5Jauw,2025-05-24,https://www.youtube.com/watch?v=mUC-Um5Jauw,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi/mUC-Um5Jauw/maxresdefault.jpg
4,202182144,818021,16352,Amr Diab - Baba (Official Lyric Video) | (كلمات) عمرو دياب - بابا,3knHALzEC7M,2025-07-03,https://www.youtube.com/watch?v=3knHALzEC7M,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/3knHALzEC7M/maxresdefault.webp
5,177081901,995285,115896,Al Shami - Doctor [Official Music Video] (2025) / الشامي - دكتور,rhOAyPKHWEo,2025-01-13,https://www.youtube.com/watch?v=rhOAyPKHWEo,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/rhOAyPKHWEo/maxresdefault.webp
6,163240977,655691,44154,Fadel Chaker And Mohamed Chaker - Kifek 3a fra2e  | 2025 | فضل شاكر ومحمد شاكر - كيفك ع فراقي,m5IWI6xFRms,2025-07-07,https://www.youtube.com/watch?v=m5IWI6xFRms,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/m5IWI6xFRms/maxresdefault.webp
7,134904717,371785,14183,akhras - Skaba (Official Music Video) | الاخرس - سكابا,Tv4--ekFMKQ,2025-04-23,https://www.youtube.com/watch?v=Tv4--ekFMKQ,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/Tv4--ekFMKQ/maxresdefault.webp
8,127445871,730251,67023,Fadel Chaker - Sahak Isho2  | 2025 | فضل شاكر - صحاك الشوق,pDy8B_r81vY,2025-08-25,https://www.youtube.com/watch?v=pDy8B_r81vY,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/pDy8B_r81vY/maxresdefault.webp
9,124817306,975941,91957,Bessan Ismail - Al Harbein (Official Music Video) | بيسان اسماعيل - الحربين,hDd4B5yuYJY,2025-01-07,https://www.youtube.com/watch?v=hDd4B5yuYJY,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/hDd4B5yuYJY/maxresdefault.webp
10,91281400,323647,12853,رعد الناصري - شوفولي جاره  | Raad El Nassri - Shofouli Jarah #حصريا 2025 #عيد_الحب,1xg1EEVnbyI,2025-02-11,https://www.youtube.com/watch?v=1xg1EEVnbyI,levant,g_levant_2025_top_50.csv,https://i.ytimg.com/vi_webp/1xg1EEVnbyI/maxresdefault.webp
